model,fold,epoch,train_loss,val_loss,val_auc
lfp_transformer,4,81,0.000698,0.001306,0.9998
lfp_transformer,4,82,0.000566,0.001512,0.9998
lfp_transformer,4,83,0.000646,0.001754,0.9997
lfp_transformer,4,84,0.000605,0.001145,0.9998
lfp_transformer,4,85,0.000375,0.002042,0.9997
lfp_transformer,4,86,0.000821,0.002069,0.9996
lfp_transformer,4,87,0.000720,0.001358,0.9997
lfp_transformer,4,88,0.000541,0.001426,0.9998
lfp_transformer,4,89,0.000546,0.001901,0.9996
lfp_transformer,4,90,0.000725,0.002054,0.9998
lfp_transformer,4,91,0.000491,0.002863,0.9995
lfp_transformer,4,92,0.000776,0.004705,0.9991
lfp_transformer,4,93,0.001223,0.001998,0.9996
lfp_transformer,4,94,0.000438,0.001640,0.9998
lfp_transformer,4,95,0.000362,0.001221,0.9998
fusion,0,10,0.098898,0.065763,1.0000
fusion,0,11,0.068644,0.178823,0.9952
fusion,0,12,0.065126,0.051931,1.0000
fusion,0,13,0.071960,0.037337,1.0000
fusion,0,14,0.056972,0.114258,1.0000
fusion,0,15,0.046390,0.064316,1.0000
fusion,0,16,0.037280,0.044655,1.0000
fusion,0,17,0.047311,0.064660,1.0000
fusion,0,18,0.041739,0.060985,1.0000
fusion,0,19,0.037555,0.094119,1.0000
fusion,0,20,0.043374,0.085216,1.0000
fusion,0,21,0.040450,0.073264,1.0000
fusion,0,22,0.038415,0.073618,1.0000
fusion,0,23,0.043434,0.044296,1.0000
fusion,0,24,0.035235,0.061730,1.0000
fusion,0,25,0.037186,0.047483,1.0000
